x,y,theta,kappa,arc_length
-3.996900000000000119e+01,3.153999999999999915e+00,-1.590662578345760192e+00,1.994089643317237259e-04,2.523178352792366130e+00
-3.999900000000000233e+01,6.310000000000000053e-01,-1.574758271199254489e+00,1.987957062326607682e-04,2.525019801902551375e+00
-3.998899999999999721e+01,-1.893999999999999906e+00,-1.558896848805658042e+00,1.999673360672873934e-04,2.517496573979792984e+00
-3.993900000000000006e+01,-4.410999999999999588e+00,-1.542898444030612159e+00,2.028444331857916921e-04,2.501619475459847308e+00
-3.984899999999999665e+01,-6.910999999999999588e+00,-1.526786957491550023e+00,2.090298053929132843e-04,2.476362251367921985e+00
-3.971999999999999886e+01,-9.384000000000000341e+00,-1.510153578666785679e+00,2.202003021797762500e-04,2.440857636159881050e+00
-3.955100000000000193e+01,-1.181900000000000084e+01,-1.492787832692963557e+00,2.354541457975731916e-04,2.397041509861687736e+00
-3.934300000000000352e+01,-1.420700000000000074e+01,-1.474464773111176186e+00,2.553845931599577762e-04,2.344155498255181769e+00
-3.909499999999999886e+01,-1.653800000000000026e+01,-1.454937281775642521e+00,2.782055483605515300e-04,2.284102668445530337e+00
-3.880799999999999983e+01,-1.880399999999999849e+01,-1.434307344230564274e+00,3.067117851680966484e-04,2.213983965614929161e+00
-3.848299999999999699e+01,-2.099399999999999977e+01,-1.412032148955020050e+00,3.483810439122644875e-04,2.138040691848496433e+00
-3.811999999999999744e+01,-2.310099999999999909e+01,-1.387294609700867154e+00,4.019559047814067615e-04,2.054708981826866232e+00
-3.771800000000000352e+01,-2.511599999999999966e+01,-1.359928966555842944e+00,4.672309611567001392e-04,1.963699824311242903e+00
-3.727900000000000347e+01,-2.703000000000000114e+01,-1.329425242954224595e+00,5.509025527739002531e-04,1.868897535982108948e+00
-3.680199999999999960e+01,-2.883699999999999974e+01,-1.295065316996380611e+00,6.591838181795456331e-04,1.768059105346876825e+00
-3.628900000000000148e+01,-3.052899999999999991e+01,-1.256051557483981007e+00,8.065631194050636860e-04,1.663220069623977615e+00
